TASK_DESCRIPTION                                                                            STATUS


Creating main window                                                                        DONE
Designing log in window                                                                     DONE
Designing login eroor popup                                                                 DONE
Designing sign up window                                                                    DONE
Designing signup eroor popup                                                                DONE
Designing profile/dial window                                                               DONE
Designing edit profile popup                                                                DONE
Designing menu popup                                                                        DONE
Designing offer window                                                                      DONE
Designing purchase window                                                                   DONE
Designing purchase history popup                                                            DONE
Designing category selection popup                                                          DONE
Designing connection popup                                                                  PENDING
Creating databse                                                                            PENDING
Creating agent assigning AI                                                                 PENDING
Connecing database with UI                                                                  PENDING
Integrating AI with UI and Database                                                         PENDING
