TASK_DESCRIPTION                                                                            STATUS


Creating main window                                                                        PENDING
Designing log in window                                                                     DONE
Designing login eroor popup                                                                 PENDING
Designing sign up window                                                                    DONE
Designing signup eroor popup                                                                PENDING
Designing profile/dial window                                                               DONE
Designing edit profile popup                                                                PENDING
Designing menu popup                                                                        PENDING
Designing offer window                                                                      PENDING
Designing purchase window                                                                   PENDING
Designing purchase history popup                                                            PENDING
Designing category selection popup                                                          PENDING
Designing connection popup                                                                  PENDING
Creating databse                                                                            PENDING
Creating agent assigning AI                                                                 PENDING
Connecing database with UI                                                                  PENDING
Integrating AI with UI and Database                                                         PENDING
